mid,event_type,from_team,time
0,3,radiant,1
1,3,radiant,222
2,3,dire,143
3,3,radiant,143
4,3,dire,53
6,3,radiant,82
6,6,radiant,523
7,3,dire,77
7,6,radiant,283
7,6,radiant,595
8,3,dire,63
8,6,dire,523
9,3,dire,24
10,3,radiant,16
11,3,radiant,83
12,3,dire,151
13,3,dire,101
13,5,radiant,500
14,3,radiant,9
15,3,dire,104
15,6,radiant,495
16,3,dire,128
17,3,dire,76
18,3,dire,5
19,3,radiant,54
20,3,radiant,7
21,3,radiant,64
22,3,radiant,2
22,6,radiant,429
23,3,dire,206
23,6,radiant,591
24,3,dire,36
25,3,dire,1
26,3,radiant,58
27,3,dire,136
27,6,dire,462
28,3,radiant,-6
29,3,radiant,10
30,3,radiant,129
30,6,dire,578
31,3,radiant,76
31,6,radiant,446
32,3,radiant,183
32,6,radiant,499
33,3,radiant,7
34,3,radiant,59
34,6,radiant,556
35,3,radiant,185
36,3,dire,135
37,3,radiant,70
38,3,radiant,147
38,6,radiant,507
39,3,dire,297
40,3,radiant,341
41,3,radiant,96
42,3,dire,15
43,3,dire,6
44,3,radiant,-5
45,3,radiant,125
45,6,radiant,456
46,3,radiant,47
47,3,radiant,79
47,6,radiant,494
48,3,radiant,100
48,6,dire,578
49,3,radiant,-13
49,6,radiant,404
50,3,radiant,111
51,3,dire,1
52,3,radiant,107
52,6,radiant,363
53,3,dire,3
54,3,dire,378
55,3,dire,82
55,6,dire,409
56,3,dire,183
57,3,dire,106
57,6,radiant,488
58,3,radiant,149
58,6,radiant,520
59,3,dire,80
59,6,dire,538
60,3,radiant,106
61,3,dire,5
61,6,dire,567
62,3,dire,-3
63,3,radiant,12
64,3,radiant,86
65,3,radiant,46
66,3,dire,-8
67,3,radiant,375
68,3,dire,9
69,3,dire,100
70,3,radiant,37
71,3,radiant,145
72,3,radiant,6
73,3,radiant,13
74,3,dire,-2
75,3,dire,231
75,6,radiant,476
76,3,radiant,13
77,3,radiant,5
78,3,dire,-2
79,3,dire,5
80,3,dire,205
80,6,dire,581
81,3,dire,64
81,6,dire,573
82,3,radiant,129
83,3,radiant,25
83,6,dire,589
84,3,dire,51
85,3,dire,91
86,3,radiant,93
87,3,radiant,119
87,5,radiant,529
88,3,dire,176
88,6,radiant,495
88,6,dire,595
89,3,dire,1
90,3,radiant,222
91,3,dire,88
91,6,dire,588
91,6,radiant,598
92,3,radiant,180
92,5,dire,579
93,3,dire,83
94,3,radiant,6
95,3,dire,327
96,3,dire,3
97,3,radiant,249
97,6,radiant,498
98,3,radiant,12
99,3,radiant,5
99,6,dire,580
100,3,radiant,85
101,3,dire,9
102,3,radiant,83
103,3,dire,5
103,6,dire,587
104,3,radiant,141
105,3,radiant,207
105,6,radiant,475
106,3,dire,202
106,6,radiant,576
106,6,dire,591
107,3,radiant,323
108,3,dire,182
109,3,radiant,45
109,6,radiant,598
110,3,radiant,226
111,3,dire,-4
111,6,radiant,523
112,3,dire,78
113,3,dire,49
114,3,radiant,92
115,3,dire,113
116,3,radiant,14
116,5,radiant,594
117,3,radiant,52
118,3,radiant,117
119,3,dire,148
120,3,dire,0
121,3,dire,78
122,3,dire,173
122,6,dire,526
123,3,dire,32
124,3,dire,105
125,3,radiant,78
127,3,dire,43
128,4,dire,277
128,0,dire,278
128,3,radiant,328
129,3,radiant,7
129,6,radiant,491
130,3,dire,8
130,6,dire,486
131,3,radiant,7
131,6,radiant,474
132,3,radiant,311
132,6,radiant,540
132,6,radiant,584
133,3,radiant,17
134,3,radiant,190
134,6,dire,495
135,3,dire,12
135,6,dire,553
136,3,dire,358
137,3,radiant,21
138,3,dire,132
139,3,dire,135
140,3,radiant,52
141,3,radiant,132
142,3,radiant,49
142,5,dire,508
143,3,radiant,10
143,6,radiant,497
144,3,dire,117
144,6,dire,514
145,3,dire,234
146,3,dire,173
147,3,radiant,66
148,3,radiant,268
148,6,radiant,320
149,3,radiant,2
150,3,dire,-1
152,3,radiant,202
152,5,radiant,474
153,3,radiant,53
154,3,dire,8
155,3,radiant,9
156,3,radiant,12
157,3,dire,267
157,6,dire,587
158,3,dire,159
159,3,dire,8
160,3,dire,63
161,3,dire,104
162,3,radiant,-3
163,3,dire,107
164,3,dire,82
165,3,radiant,245
165,6,dire,551
166,3,radiant,7
166,4,radiant,404
166,0,radiant,405
167,3,dire,63
168,3,radiant,7
169,3,dire,3
169,6,radiant,501
170,3,radiant,22
171,3,dire,217
172,3,dire,175
173,3,radiant,94
173,6,radiant,350
174,3,radiant,91
175,3,radiant,3
176,3,radiant,75
177,3,radiant,159
178,3,radiant,199
179,3,dire,-1
180,3,dire,208
181,3,radiant,20
181,5,radiant,549
182,3,dire,343
182,6,dire,500
183,3,dire,15
183,6,dire,485
183,6,dire,549
183,6,dire,581
184,3,dire,0
185,3,radiant,-9
186,3,dire,1
187,3,radiant,8
188,3,radiant,76
189,3,radiant,44
189,6,dire,557
190,3,radiant,129
191,3,radiant,7
192,3,dire,112
193,3,dire,147
194,3,radiant,256
194,6,radiant,554
195,3,radiant,13
195,6,dire,562
195,6,dire,595
196,3,radiant,20
197,3,radiant,279
198,3,radiant,36
199,3,radiant,240
199,6,dire,517
199,6,dire,582
200,3,dire,7
200,6,dire,488
200,6,dire,600
201,3,radiant,233
202,3,dire,135
203,3,dire,3
204,3,radiant,36
205,3,dire,283
205,6,dire,447
206,3,radiant,8
206,6,dire,511
206,6,radiant,585
207,3,dire,243
207,5,dire,557
208,3,dire,116
209,3,radiant,67
210,3,radiant,89
211,3,dire,6
212,3,dire,138
212,6,dire,441
213,3,dire,97
214,3,dire,29
215,3,dire,179
216,3,radiant,5
217,3,radiant,116
218,3,radiant,212
219,3,radiant,106
219,6,radiant,543
220,3,radiant,35
221,3,dire,244
222,3,radiant,266
223,3,radiant,205
223,5,radiant,550
224,3,dire,184
225,3,radiant,-13
226,3,radiant,61
226,6,radiant,500
227,3,radiant,133
228,3,radiant,0
229,3,dire,49
229,6,radiant,595
230,3,dire,113
230,6,radiant,511
230,6,radiant,596
231,3,dire,9
232,3,radiant,174
233,3,dire,189
234,3,dire,-4
235,3,radiant,222
236,3,radiant,81
237,3,dire,92
238,3,dire,217
238,6,radiant,399
238,6,radiant,573
239,3,radiant,6
240,3,radiant,164
241,3,dire,54
242,3,dire,1
243,3,dire,7
244,3,dire,205
245,3,dire,88
246,3,radiant,54
247,3,dire,19
248,3,dire,4
249,3,dire,11
250,3,dire,59
251,3,dire,308
251,6,radiant,584
252,3,dire,150
253,3,dire,-24
253,6,dire,584
254,3,dire,74
255,3,radiant,175
256,3,radiant,111
256,6,radiant,469
257,3,dire,398
258,3,dire,-12
259,3,dire,13
260,3,dire,183
260,5,dire,594
261,3,radiant,82
261,6,radiant,499
262,3,dire,44
262,6,dire,594
263,3,dire,67
264,3,radiant,2
264,5,radiant,344
265,3,dire,376
266,3,radiant,125
267,3,radiant,-3
267,6,radiant,496
268,3,dire,13
268,6,dire,406
268,6,dire,467
268,6,radiant,532
268,6,dire,538
271,3,radiant,105
272,3,dire,7
273,3,dire,13
274,3,dire,13
275,3,dire,333
276,3,dire,60
277,3,radiant,-2
278,3,dire,22
279,3,dire,169
279,5,dire,515
280,3,dire,269
281,3,radiant,9
282,3,radiant,138
282,6,radiant,469
283,3,dire,250
283,5,dire,449
284,3,radiant,202
284,6,radiant,445
285,3,radiant,93
286,3,radiant,5
287,3,dire,115
288,3,dire,136
288,6,radiant,598
289,3,dire,46
289,6,radiant,585
290,3,radiant,83
290,6,radiant,511
290,6,dire,540
291,3,dire,59
291,6,dire,579
292,3,dire,211
293,3,dire,134
294,3,radiant,188
295,3,dire,79
296,3,radiant,169
297,3,dire,169
298,3,dire,37
298,6,radiant,535
299,3,dire,-1
299,6,radiant,475
299,5,radiant,596
300,3,radiant,123
301,3,dire,6
302,3,dire,5
302,5,dire,439
303,3,radiant,174
304,3,radiant,-7
305,3,dire,91
305,6,radiant,576
306,3,dire,36
306,6,radiant,531
307,3,radiant,112
308,3,radiant,10
308,6,dire,468
309,3,dire,259
309,4,dire,516
309,0,dire,517
310,3,dire,101
311,3,dire,161
311,0,dire,314
311,4,dire,314
312,3,dire,14
313,3,dire,83
314,3,dire,104
315,3,radiant,14
316,3,radiant,-1
316,5,dire,455
317,3,dire,88
318,3,radiant,139
318,5,dire,458
319,3,radiant,262
320,3,dire,150
321,3,radiant,127
321,6,dire,522
322,3,radiant,65
323,3,dire,133
323,5,dire,442
324,3,radiant,-6
325,3,radiant,47
326,3,dire,25
327,3,radiant,86
328,3,dire,260
329,3,dire,226
330,3,radiant,4
331,3,radiant,83
332,3,dire,15
333,3,radiant,100
333,6,radiant,533
334,3,radiant,-7
335,3,dire,88
336,3,radiant,51
337,3,dire,162
338,3,dire,221
338,6,radiant,591
339,3,radiant,0
340,3,dire,165
340,6,dire,553
341,3,radiant,10
