mid,player_0,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9
0,91,42,87,15,65,11,6,34,69,74
1,69,85,71,24,64,74,68,39,65,11
2,17,40,31,67,99,32,7,72,48,104
3,80,43,101,71,94,69,70,98,24,39
4,25,15,75,29,95,3,32,55,64,86
5,65,6,81,25,71,75,42,101,96,109
6,64,47,3,1,69,75,81,65,39,40
7,23,91,68,52,50,75,29,108,61,26
8,59,57,101,64,12,24,82,103,8,96
9,33,76,108,1,94,68,27,42,40,29
10,81,92,26,75,8,32,91,96,16,102
11,1,40,107,45,9,67,10,13,109,72
12,26,59,38,73,43,86,109,64,15,8
13,15,86,54,101,8,1,81,96,12,80
14,6,82,81,69,73,8,40,38,91,93
15,15,76,57,67,72,64,89,55,16,96
16,36,53,25,26,29,31,17,32,3,49
17,55,64,65,85,24,103,109,81,74,1
18,77,6,39,50,31,64,67,93,27,60
19,8,74,4,91,108,3,32,109,82,48
20,94,110,68,29,70,31,89,81,108,39
21,50,94,82,100,11,20,19,66,93,72
22,92,71,101,75,67,13,42,94,76,109
23,48,92,22,17,40,59,54,39,55,103
24,93,19,32,82,11,26,91,66,99,72
25,32,31,96,103,91,21,15,52,40,73
26,88,42,55,75,8,41,32,17,76,82
27,67,23,61,110,17,64,76,59,82,4
28,64,103,69,4,29,43,15,3,96,101
29,65,91,47,39,75,64,19,69,40,15
30,67,96,3,65,12,69,64,47,94,72
31,1,36,92,32,6,81,21,35,49,31
32,39,1,48,64,57,27,75,8,104,50
33,101,91,31,40,34,15,50,86,72,3
34,64,8,2,39,40,80,67,27,75,102
35,67,11,39,91,15,59,64,3,109,1
36,57,55,66,79,29,32,1,75,48,54
37,49,14,57,73,52,24,101,32,86,1
38,110,50,24,104,88,3,48,31,40,76
39,19,91,68,101,71,104,16,26,65,62
40,65,11,86,58,69,63,74,64,1,90
41,82,69,42,9,24,20,96,19,99,31
42,20,61,88,32,85,66,96,1,81,47
43,30,93,24,1,29,86,94,64,4,36
44,19,52,28,104,55,20,99,64,82,107
45,11,64,10,68,6,17,29,105,78,47
46,55,71,23,81,15,69,96,77,22,31
47,82,71,24,9,76,11,69,94,75,99
48,15,53,92,64,60,6,29,40,70,62
49,15,101,40,67,3,29,57,8,47,75
50,31,91,88,16,4,87,68,72,21,1
51,22,64,41,45,92,24,71,82,17,66
52,60,67,49,57,58,82,101,69,5,79
53,15,94,11,47,19,79,23,91,55,98
54,6,49,75,107,41,103,72,57,4,64
55,23,64,97,15,59,40,107,16,72,39
56,35,15,40,8,52,69,22,60,24,90
57,60,40,55,29,34,75,3,1,92,94
58,69,109,23,15,64,67,104,19,54,75
59,101,15,110,86,1,54,29,104,24,67
60,29,110,40,101,12,82,64,75,88,8
61,54,31,96,33,41,90,72,5,15,73
62,64,96,14,20,1,24,44,102,15,19
63,93,47,35,17,69,85,2,68,104,8
64,101,89,3,67,87,32,64,52,40,35
65,75,76,69,107,72,71,16,109,64,1
66,74,68,39,71,48,52,40,109,32,82
67,6,93,20,75,107,53,46,5,64,86
68,6,25,64,30,39,70,82,69,109,32
69,75,27,88,109,35,24,54,71,8,104
70,82,89,40,64,34,72,97,98,52,55
71,94,86,15,48,42,64,81,108,22,51
72,96,1,55,91,30,41,15,104,105,71
73,49,15,64,91,14,32,84,86,55,20
74,32,12,97,73,30,91,13,40,54,29
75,46,80,15,70,67,8,39,24,11,94
76,64,32,69,52,87,75,57,97,44,29
77,96,106,36,14,60,24,59,17,69,26
78,19,34,109,22,67,101,69,94,103,64
79,29,75,103,32,5,25,13,92,15,36
80,110,75,94,20,56,35,15,60,54,102
81,104,24,39,64,94,96,15,85,40,32
82,29,75,96,86,99,74,65,8,15,21
83,75,2,107,69,41,99,20,59,81,37
84,94,40,86,29,64,56,72,53,32,8
85,70,75,89,2,57,32,8,82,15,104
86,60,82,33,67,15,72,59,54,81,27
87,44,47,11,41,53,15,96,42,86,1
88,84,69,35,57,89,104,66,15,94,59
89,64,29,72,50,110,109,81,27,19,108
90,64,21,67,109,55,29,15,82,94,104
91,94,15,60,92,101,40,47,69,49,24
92,39,34,68,31,64,1,69,57,76,15
93,16,61,29,71,75,94,98,91,55,17
94,67,8,101,81,39,84,64,25,3,85
95,19,64,15,22,81,106,34,93,66,1
96,27,86,32,57,94,5,55,70,64,39
97,103,82,108,71,15,12,42,96,65,64
98,94,16,106,41,32,64,15,69,31,87
99,20,49,19,24,7,101,106,8,50,96
100,96,49,79,73,89,60,72,55,57,54
101,57,17,60,3,76,5,97,96,56,8
102,92,97,34,1,93,60,10,76,11,65
103,34,82,60,12,26,38,45,96,69,64
104,19,24,91,31,46,96,67,40,75,27
105,95,75,66,16,64,24,74,94,91,25
106,86,32,15,57,65,5,71,11,48,39
107,91,5,51,48,31,82,29,94,50,64
108,32,3,105,91,1,26,77,104,25,29
109,97,32,89,24,83,8,42,11,81,92
110,15,72,109,29,101,31,21,75,39,64
111,4,55,88,15,89,24,40,75,50,81
112,75,41,56,83,88,49,59,79,104,69
113,75,8,71,48,64,40,92,72,14,15
114,47,104,86,38,101,48,13,72,42,32
115,91,59,65,15,93,55,29,26,12,20
116,82,46,50,48,90,27,16,103,108,81
117,96,38,75,103,8,24,101,9,6,94
118,8,94,15,104,102,17,40,29,67,74
119,15,31,4,50,108,28,57,6,81,64
120,108,104,86,35,102,21,65,11,89,3
121,90,91,57,1,28,71,14,45,79,3
122,32,82,15,106,41,51,67,44,43,64
123,72,44,30,87,29,105,69,54,31,82
124,101,55,39,86,1,19,72,64,67,94
125,22,101,19,81,76,8,104,25,31,74
126,15,94,101,109,74,73,64,31,86,48
127,13,19,71,54,65,3,29,24,89,76
128,109,59,104,65,15,70,40,13,72,86
129,75,4,67,20,84,27,19,29,109,66
130,43,15,41,29,19,3,42,9,82,38
131,15,74,21,33,82,64,69,30,1,81
132,54,40,75,37,81,67,15,109,1,7
133,64,66,25,96,75,72,34,9,82,80
134,32,56,31,109,8,34,4,37,48,59
135,92,70,97,95,32,25,14,39,20,98
136,64,68,97,71,82,88,83,34,86,25
137,24,104,55,90,68,82,73,86,1,15
138,65,75,56,70,40,52,8,92,66,76
139,71,24,82,4,76,65,3,13,88,104
140,74,82,19,32,75,63,94,25,66,67
141,2,67,64,69,32,3,91,15,105,76
142,54,73,17,15,60,42,12,29,33,45
143,15,102,19,69,94,79,14,21,31,104
144,32,47,11,91,15,8,72,64,88,44
145,89,53,66,74,23,106,90,17,40,52
146,70,15,104,88,108,39,106,21,36,37
147,1,4,75,3,89,71,65,45,60,35
148,40,39,94,15,67,32,70,8,86,71
149,87,29,28,35,101,11,70,19,96,32
150,9,15,103,1,75,96,45,64,39,74
151,91,82,69,3,75,103,64,22,15,68
152,22,46,44,31,17,94,53,69,32,1
153,13,86,53,74,46,69,15,1,40,68
154,94,60,52,15,3,40,102,66,74,20
155,78,96,39,64,107,59,101,50,80,19
156,60,67,64,97,22,2,74,72,110,4
157,27,67,38,104,15,34,76,79,3,93
158,20,82,54,64,15,91,94,65,75,69
159,72,32,91,53,5,101,64,3,83,57
160,20,102,97,13,74,86,65,43,80,17
161,32,17,16,72,20,15,1,30,110,100
162,76,64,56,29,45,34,93,65,66,41
163,75,3,40,49,74,48,22,9,24,94
164,97,64,22,40,94,81,29,75,19,3
165,106,50,59,65,32,16,8,11,20,31
166,64,101,54,11,70,75,5,90,94,73
167,75,110,108,67,57,82,92,52,64,58
168,24,102,53,70,86,93,75,76,1,64
169,86,32,1,55,26,8,40,15,71,24
170,31,91,64,86,75,29,38,24,71,104
171,108,67,50,44,37,11,64,89,70,97
172,74,32,93,44,76,75,67,39,96,66
173,15,82,4,64,24,47,17,16,53,65
174,54,39,3,66,101,74,99,40,76,64
175,76,39,1,72,3,11,45,10,69,8
176,68,82,92,109,56,75,101,107,86,10
177,104,42,75,82,69,50,52,76,81,55
178,1,61,89,75,96,97,88,6,29,34
179,69,67,77,40,82,104,27,23,98,71
180,99,31,57,5,61,101,32,71,68,84
181,71,4,29,26,15,67,40,12,64,85
182,95,41,40,36,93,86,67,13,44,64
183,3,90,82,66,27,88,24,22,47,5
184,66,3,34,46,24,42,15,74,60,59
185,91,34,71,39,101,15,20,31,107,86
186,58,109,75,65,33,60,73,3,54,57
187,27,64,25,58,91,69,15,96,94,41
188,91,69,105,64,67,40,52,94,104,15
189,41,42,65,91,75,60,104,44,82,20
190,66,71,1,75,3,65,61,40,64,94
191,74,39,101,3,57,42,34,69,40,72
192,72,96,82,94,66,73,39,64,40,55
193,40,45,110,5,67,66,65,75,104,59
194,75,42,32,82,26,69,34,67,37,39
195,33,63,52,76,71,69,8,20,26,39
196,46,90,75,76,34,71,2,98,32,47
197,57,75,22,26,91,9,34,48,15,12
198,64,96,86,47,92,15,5,12,55,94
199,64,26,42,69,49,2,54,91,33,93
200,70,75,3,24,91,50,19,67,82,81
201,1,42,104,69,75,101,89,35,76,60
202,19,15,75,82,40,6,98,8,55,76
203,64,5,1,39,75,47,57,15,70,90
204,93,64,71,96,34,48,8,29,39,5
205,110,1,104,45,57,14,44,15,3,40
206,64,30,69,17,109,75,50,58,42,56
207,86,82,30,29,32,24,5,31,10,50
208,82,71,99,24,76,91,101,6,108,52
209,30,104,40,52,106,82,74,71,6,57
210,108,70,109,15,96,40,74,64,17,50
211,64,94,4,71,27,106,74,96,89,17
212,90,12,36,65,71,86,81,64,44,42
213,95,71,75,57,40,59,1,35,66,24
214,44,29,91,75,35,19,20,47,84,81
215,42,52,75,88,1,94,106,34,103,57
216,24,104,49,57,107,58,76,8,15,2
217,11,74,66,96,67,101,86,69,15,44
218,29,86,90,1,81,23,15,40,74,31
219,82,71,1,76,4,75,39,16,22,96
220,40,110,96,64,65,73,41,15,104,76
221,1,68,25,94,86,5,69,39,15,72
222,69,73,71,57,89,70,107,19,37,47
223,55,53,104,81,61,15,8,71,6,64
224,85,30,32,57,40,17,93,109,27,69
225,108,34,29,57,40,15,76,1,96,80
226,53,3,88,64,91,15,60,7,26,1
227,32,25,82,15,108,11,58,66,62,19
