mid,radiant_won
0,1
1,0
2,1
4,1
5,1
6,1
8,0
11,0
20,1
26,1
27,1
28,0
30,1
31,0
35,0
37,0
43,0
48,1
49,1
52,1
53,1
55,0
56,0
57,1
58,0
59,0
61,1
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,1
73,0
74,1
76,1
77,1
79,0
81,0
82,1
83,0
84,1
85,1
88,0
90,1
92,1
93,0
95,0
96,1
97,1
98,1
99,0
100,1
101,1
102,0
104,0
107,1
110,0
111,1
113,1
117,0
119,0
120,0
121,1
122,0
124,1
125,1
128,1
130,0
133,1
134,1
137,0
141,0
142,0
148,1
149,0
151,0
152,0
153,0
154,0
156,1
157,0
158,0
161,0
163,1
164,1
165,1
167,0
169,1
171,0
173,1
175,1
176,1
177,0
178,0
179,1
187,0
190,1
191,0
194,1
196,1
198,0
199,0
200,0
204,0
205,0
207,0
209,0
210,1
211,0
213,1
214,0
216,0
217,1
219,1
225,1
226,0
227,1
230,1
233,0
234,1
236,1
237,0
238,0
239,1
241,1
243,1
244,1
245,1
246,1
248,1
250,0
256,0
257,1
258,1
259,1
261,0
267,1
269,1
271,0
272,0
273,1
276,0
277,1
279,0
280,1
281,0
284,0
285,0
286,1
287,0
288,0
291,0
293,0
294,1
295,0
296,1
299,1
301,0
304,1
307,0
308,0
313,0
314,0
315,0
320,0
321,0
323,1
324,0
326,1
329,0
337,0
339,1
343,0
344,1
346,1
347,1
349,0
352,0
354,0
355,0
356,1
357,0
361,1
362,0
363,1
364,1
366,1
367,1
373,0
375,1
376,1
378,1
381,0
384,0
385,1
387,1
389,0
392,0
396,0
397,0
398,0
401,1
403,1
406,1
407,0
410,0
411,0
414,0
415,1
416,1
418,1
419,1
424,1
426,1
427,0
429,0
430,0
431,1
432,1
433,0
434,1
436,1
437,1
438,0
439,1
443,0
444,1
448,1
450,0
451,1
456,0
462,0
464,0
465,1
467,1
469,0
470,1
471,1
472,1
473,1
474,0
475,0
481,1
482,1
485,0
486,1
488,1
490,0
491,1
494,1
496,1
497,0
499,0
500,0
501,0
504,1
505,1
508,0
509,0
510,0
512,0
513,1
515,0
516,0
519,1
520,0
521,1
524,1
525,1
527,0
528,1
529,0
530,1
532,1
533,0
534,1
535,0
536,0
537,0
538,0
539,0
540,0
543,0
546,1
548,1
551,0
553,1
565,0
567,1
568,0
569,1
571,0
573,0
577,1
579,1
580,1
587,0
589,0
590,0
591,1
598,1
599,0
601,1
602,1
604,1
605,1
610,1
611,1
612,1
615,1
616,1
617,1
619,1
620,0
621,1
625,1
628,0
629,1
634,0
636,0
640,0
643,1
645,1
646,0
647,0
657,1
659,1
664,0
665,1
668,0
673,0
675,1
680,1
681,1
682,1
683,1
689,0
690,0
693,0
694,1
695,0
698,1
699,0
700,0
702,0
704,1
709,1
711,0
713,0
714,1
716,0
719,1
720,1
721,1
722,0
723,0
724,0
727,1
728,0
729,1
731,0
733,1
734,0
736,1
742,0
743,0
746,1
748,0
749,0
750,1
753,1
767,0
771,0
775,1
776,1
778,0
783,0
784,1
786,1
788,1
789,0
790,0
792,0
795,1
802,0
803,0
804,1
805,0
806,0
807,1
809,1
811,1
813,0
815,0
816,0
817,0
819,0
822,0
823,1
825,1
830,1
831,1
833,0
834,0
836,1
837,1
841,1
842,0
846,1
847,0
848,0
849,1
851,0
854,1
856,0
857,0
858,1
859,0
862,1
864,1
865,0
866,1
867,0
868,1
869,1
870,1
871,1
875,1
876,0
880,0
882,0
886,1
887,1
889,0
890,1
891,1
893,1
894,1
896,1
899,1
900,0
902,1
904,0
906,1
907,0
908,0
909,1
913,1
917,0
918,0
922,1
924,1
927,1
928,0
930,1
932,1
933,0
938,1
939,1
940,0
941,0
942,0
943,0
944,0
945,0
947,1
949,0
955,0
956,0
957,0
959,0
960,1
961,1
962,1
963,1
964,1
967,0
969,0
974,1
975,1
977,0
983,0
984,1
986,0
987,1
991,0
993,1
998,1
1001,0
1010,0
1011,1
1012,1
1014,1
1015,1
1018,0
1021,0
1023,1
1024,1
1025,1
1029,0
1031,0
1033,1
1035,1
1036,1
1037,0
1038,1
1039,1
1040,0
1041,0
1043,0
1044,1
1046,0
1048,1
1050,1
1051,0
1052,0
1054,1
1055,1
1056,0
1058,0
1059,1
1060,0
1061,1
1063,1
1065,0
1066,0
1068,1
1070,1
1071,1
1072,0
1074,0
1077,1
1078,0
1080,1
1081,1
1082,0
1086,0
1089,0
1090,1
1091,0
1092,1
1093,0
1094,0
1096,1
1097,0
1098,1
1103,1
1106,0
1110,0
1112,1
1113,0
1116,0
1118,0
1120,1
1122,1
1125,1
1127,1
1131,1
1132,1
1133,0
1136,0
1139,1
1140,0
1141,0
1144,0
1145,1
1147,0
1148,0
1149,0
1158,0
1162,0
1164,0
1165,1
1170,0
1171,1
1172,1
1173,0
1176,1
1183,1
1185,1
1188,0
1192,1
1193,0
1195,0
1197,1
1199,0
1201,0
1206,1
1212,0
1214,1
1217,0
1218,1
1220,0
1221,0
1222,0
1224,0
1225,1
1226,1
1227,1
1228,0
1229,0
1231,0
1233,0
1247,0
1248,1
1249,0
1253,0
1258,1
1259,0
1264,0
1265,0
1268,0
1269,0
1270,1
1271,1
1272,0
1273,0
1278,1
1279,0
1282,1
1283,1
1288,0
1292,0
1295,0
1297,0
1299,1
1300,0
1304,1
1305,1
1308,1
1309,0
1310,1
1313,1
1314,0
1315,1
1317,0
1319,1
1321,1
1322,1
1323,1
1324,1
1325,1
1326,1
1328,0
1329,1
1331,1
1333,0
1335,1
1337,1
1340,0
1343,1
1344,0
1346,1
1350,1
1352,0
1353,1
1354,0
1355,1
1356,1
1359,1
1360,0
1362,1
1366,0
1369,0
1374,0
1376,0
1377,1
1379,0
1380,1
1384,0
1385,1
1386,1
1387,0
1389,1
1390,0
1391,1
1392,0
1394,0
1401,1
1402,1
1404,1
1405,1
1408,1
1410,0
1412,1
1416,0
1417,0
1418,0
1421,1
1422,1
1430,1
1432,1
1434,1
1442,0
1443,1
1444,0
1445,1
1446,0
1450,0
1452,1
1453,0
1456,1
1459,1
1461,1
1464,1
1465,0
1474,0
1475,0
1476,1
1482,1
1484,0
1486,0
1487,0
1491,0
1492,0
1493,1
1495,0
1498,1
1499,1
1503,0
1506,1
1507,0
1510,1
1511,0
1512,0
1516,0
1517,1
1520,0
1521,1
1524,1
1525,1
1526,1
1527,1
1529,1
1530,1
1533,1
1534,1
1540,1
1541,1
1542,1
1544,1
1545,1
1546,0
1548,0
1555,1
1556,0
1557,0
1558,0
1560,0
1561,1
1562,1
1563,1
1565,1
1566,1
1568,0
1570,1
1571,1
1572,0
1573,0
1574,0
1577,0
1578,1
1590,1
1591,0
1595,1
1597,0
1598,1
1600,1
1601,0
1602,0
1604,1
1605,1
1608,1
1610,0
1612,0
1613,1
1618,0
1621,1
1625,1
1626,1
1628,1
1630,1
1633,0
1634,0
1635,1
1636,1
1643,0
1644,0
1645,1
1646,1
1647,1
1649,1
1650,1
1652,1
1657,1
1658,1
1659,1
1660,0
1661,1
1663,0
1664,1
1665,1
1666,1
1668,0
1669,1
1671,1
1672,1
1673,1
1676,1
1677,0
1678,1
1679,1
1681,0
1683,1
1685,0
1686,1
1689,1
1690,0
1691,1
1692,0
1693,1
1694,1
1697,1
1698,0
1699,0
1700,1
1703,1
1705,0
1706,1
1707,1
1709,0
1710,1
1711,0
1713,1
1714,0
1717,0
1718,1
1721,0
1725,0
1726,0
1728,0
1730,0
1731,1
1732,0
1738,1
1739,0
1740,1
1742,0
1745,0
1751,0
1752,1
1754,0
1756,0
1758,0
1762,0
1765,1
1771,1
1776,1
1778,1
1779,0
1781,0
1782,1
1785,1
1791,0
1795,0
1796,0
1797,0
1798,1
1799,0
1801,0
1802,0
1804,1
1805,0
1806,0
1807,0
1809,0
1810,1
1811,0
1812,0
1814,1
1815,0
1816,1
1817,1
1818,0
1819,0
1820,1
1821,1
1822,0
1823,1
1824,0
1825,1
1828,1
1829,0
1833,0
1838,1
1839,1
1843,0
1844,0
1845,1
1846,0
1847,0
1848,1
1850,1
1852,1
1853,0
1854,0
1855,1
1857,0
1860,0
1862,0
1863,0
1866,1
1869,0
1870,1
1872,1
1873,1
1876,0
1881,0
1882,1
1883,0
1887,0
1888,0
1889,0
1891,0
1892,0
1893,0
1895,0
1898,1
1901,0
1905,0
1908,0
1910,1
1911,0
1912,1
1913,0
1914,0
1915,1
1916,1
1917,0
1919,0
1920,1
1921,0
1922,1
1925,1
1929,0
1930,1
1931,1
1933,0
1936,0
1938,0
1939,1
1940,0
1941,1
1943,1
1944,1
1952,1
1954,0
1955,1
1960,0
1961,0
1962,0
1965,0
1967,0
1971,0
1973,1
1978,1
1982,0
1984,1
1987,0
1988,1
1989,1
1990,1
2001,0
2002,0
2004,1
2006,1
2007,1
2009,0
2011,0
2012,0
2014,1
2016,0
2018,0
2019,1
2020,1
2026,1
2028,0
2029,1
2032,0
2033,0
2036,1
2038,0
2039,1
2043,0
2044,1
2045,1
2047,0
2048,1
2050,1
2051,0
2052,0
2053,1
2056,0
2062,0
2063,1
2064,0
2065,0
2066,1
2069,0
2074,1
2075,0
2076,1
2077,0
2082,0
2084,1
2087,1
2089,1
2090,0
2092,1
2093,1
2099,1
2101,0
2103,1
2104,1
2105,1
2107,1
2108,1
2109,1
2110,0
2111,0
2113,1
2114,1
2118,1
2119,0
2120,0
2121,0
2125,0
2127,0
2130,1
2131,1
2134,0
2136,0
2138,0
2139,0
2141,1
2142,0
2144,1
2145,0
2146,0
2147,1
2148,1
2149,1
2150,0
2151,0
2152,0
2154,0
2155,0
2157,1
2158,1
2160,1
2162,0
2164,0
2165,0
2166,1
2167,0
2168,0
2172,1
2175,1
2176,0
2178,1
2179,0
2180,1
2181,0
2187,0
2190,0
2191,0
2192,1
2197,0
2198,1
2200,0
2201,1
2206,1
2207,1
2208,1
2209,1
2211,0
2213,1
2216,1
2217,1
2218,0
2221,1
2222,0
2225,1
2226,0
2227,1
2229,1
2231,1
2235,1
2237,1
2239,0
2240,1
2244,0
2245,0
2247,1
2248,0
2249,0
2251,0
2254,1
2255,1
2256,1
2257,1
2258,0
2259,1
2260,1
2262,1
2264,1
2265,0
2266,0
2268,1
2271,0
2272,1
2276,1
2278,1
